accord,in_product,in_query
aldehydes,1,0
aldehydic,1,1
almond,1,1
amber,1,1
amber powdery,1,0
animalic,1,1
anis,0,1
aquatic,1,1
aquaticp,0,1
aromatic,1,1
aromatique,1,0
aroomatic,1,0
baae: warm spicy,1,0
bae: powdery musky,1,0
balsamic,1,1
bitter,1,1
cacao,1,1
cannabis,1,1
caramel,1,1
cherry,1,1
chocolate,1,1
cinnamon,1,1
citrus,1,1
citrus caramel,1,0
citrus floral,1,0
citrus white floral,1,0
citrus woody,1,0
coconut,1,1
coffe,1,0
coffee,1,1
conifer,1,1
earthy,1,1
floral,1,1
floral fruity,1,0
freahspicy,1,0
freesh,1,0
fresh,1,1
fresh spicy,1,1
fresh spicy. citrus,1,0
fruity,1,1
fruity aromatic,1,0
fruity caramel,1,0
fruity fresh,1,0
fruity iris,1,0
fruity musky,1,0
fruity rose,1,0
fruity vanilla rose,1,0
fuity,1,0
greeen,1,0
green,1,1
haert: white floral warm spicy,1,0
herbal,1,1
honey,1,1
iris,1,1
iris woody,1,0
lactonic,1,1
lavender,1,1
leather,1,1
marine,1,1
metalic,1,0
metallic,1,1
mineral,0,1
mossy,1,1
musky,1,1
musky rose,1,0
nuity,1,0
nutty,1,1
oriental,1,0
oriental: vanilla,1,0
oud,1,1
ozonic,1,1
ozonoc,1,0
patchouli,1,1
powderry,1,0
powdery,1,1
powdery sweet,1,0
pzonic,1,0
rose,1,1
rose sweet,1,0
rum,1,0
salty,1,1
smoky,1,1
soft spicy,1,1
spicy,0,1
sweet,1,1
sweet floral,1,0
sweet fresh,1,0
sweet vanilla,1,0
sweet woody,1,0
tobacco,1,1
tropical,1,1
tuberose,1,1
vanila,1,0
vanilla,1,1
vanilla cacao,1,0
vanilla coffe,1,0
vanilla powdery,1,0
vanilla sweet,1,0
vanilla tropical,1,0
vanilla woody,1,0
violet,1,1
vodka,1,1
wam spicy,1,0
warm,1,0
warm spicy,1,1
warm spicy chocolate,1,0
warm spicy vanilla,1,0
whiskey,1,1
white floral,1,1
white floral and tuberose,1,0
woody,1,1
woody fresh,1,0
woody white floral,1,0
yellow floral,1,1
—,0,1
