iter,loss
0,0.693088
1,0.692958
2,0.692828
3,0.692699
4,0.692569
5,0.692440
6,0.692312
7,0.692183
8,0.692055
9,0.691927
10,0.691800
11,0.691672
12,0.691545
13,0.691419
14,0.691292
15,0.691166
16,0.691040
17,0.690914
18,0.690788
19,0.690663
20,0.690538
21,0.690413
22,0.690289
23,0.690164
24,0.690040
25,0.689917
26,0.689793
27,0.689670
28,0.689547
29,0.689424
30,0.689301
31,0.689179
32,0.689057
33,0.688935
34,0.688814
35,0.688692
36,0.688571
37,0.688450
38,0.688329
39,0.688209
40,0.688089
41,0.687969
42,0.687849
43,0.687729
44,0.687610
45,0.687491
46,0.687372
47,0.687253
48,0.687135
49,0.687017
50,0.686899
51,0.686781
52,0.686663
53,0.686546
54,0.686429
55,0.686312
56,0.686195
57,0.686078
58,0.685962
59,0.685846
60,0.685730
61,0.685614
62,0.685498
63,0.685383
64,0.685267
65,0.685152
66,0.685037
67,0.684923
68,0.684808
69,0.684694
70,0.684580
71,0.684466
72,0.684352
73,0.684238
74,0.684124
75,0.684011
76,0.683898
77,0.683785
78,0.683672
79,0.683559
80,0.683447
81,0.683334
82,0.683222
83,0.683110
84,0.682998
85,0.682886
86,0.682774
87,0.682662
88,0.682551
89,0.682439
90,0.682328
91,0.682217
92,0.682106
93,0.681995
94,0.681884
95,0.681773
96,0.681662
97,0.681552
98,0.681441
99,0.681331
100,0.681221
101,0.681110
102,0.681000
103,0.680890
104,0.680780
105,0.680670
106,0.680560
107,0.680450
108,0.680340
109,0.680230
110,0.680120
111,0.680010
112,0.679901
113,0.679791
114,0.679681
115,0.679571
116,0.679462
117,0.679352
118,0.679242
119,0.679132
120,0.679022
121,0.678912
122,0.678802
123,0.678692
124,0.678582
125,0.678472
126,0.678362
127,0.678252
128,0.678141
129,0.678031
130,0.677920
131,0.677809
132,0.677699
133,0.677588
134,0.677476
135,0.677365
136,0.677254
137,0.677142
138,0.677030
139,0.676918
140,0.676806
141,0.676694
142,0.676581
143,0.676468
144,0.676355
145,0.676241
146,0.676128
147,0.676014
148,0.675899
149,0.675785
150,0.675670
151,0.675554
152,0.675439
153,0.675323
154,0.675206
155,0.675090
156,0.674972
157,0.674855
158,0.674736
159,0.674618
160,0.674499
161,0.674379
162,0.674259
163,0.674138
164,0.674017
165,0.673895
166,0.673773
167,0.673650
168,0.673526
169,0.673402
170,0.673277
171,0.673151
172,0.673025
173,0.672898
174,0.672770
175,0.672641
176,0.672511
177,0.672381
178,0.672249
179,0.672117
180,0.671984
181,0.671850
182,0.671715
183,0.671579
184,0.671442
185,0.671303
186,0.671164
187,0.671024
188,0.670882
189,0.670739
190,0.670595
191,0.670450
192,0.670303
193,0.670155
194,0.670006
195,0.669855
196,0.669703
197,0.669549
198,0.669394
199,0.669238
200,0.669079
201,0.668919
202,0.668758
203,0.668594
204,0.668429
205,0.668262
206,0.668094
207,0.667923
208,0.667750
209,0.667576
210,0.667399
211,0.667220
212,0.667040
213,0.666857
214,0.666671
215,0.666484
216,0.666294
217,0.666102
218,0.665907
219,0.665710
220,0.665511
221,0.665308
222,0.665104
223,0.664896
224,0.664686
225,0.664473
226,0.664257
227,0.664038
228,0.663816
229,0.663591
230,0.663363
231,0.663132
232,0.662898
233,0.662660
234,0.662420
235,0.662175
236,0.661928
237,0.661677
238,0.661422
239,0.661164
240,0.660902
241,0.660636
242,0.660367
243,0.660094
244,0.659817
245,0.659536
246,0.659251
247,0.658962
248,0.658669
249,0.658372
250,0.658070
251,0.657765
252,0.657455
253,0.657141
254,0.656822
255,0.656500
256,0.656172
257,0.655840
258,0.655504
259,0.655163
260,0.654818
261,0.654468
262,0.654113
263,0.653754
264,0.653390
265,0.653022
266,0.652648
267,0.652270
268,0.651888
269,0.651500
270,0.651108
271,0.650711
272,0.650310
273,0.649903
274,0.649492
275,0.649077
276,0.648656
277,0.648232
278,0.647802
279,0.647368
280,0.646930
281,0.646487
282,0.646040
283,0.645588
284,0.645132
285,0.644672
286,0.644208
287,0.643739
288,0.643267
289,0.642791
290,0.642311
291,0.641827
292,0.641340
293,0.640849
294,0.640355
295,0.639857
296,0.639357
297,0.638853
298,0.638346
299,0.637837
