iter,loss
0,0.678306
1,0.612408
2,0.606573
3,0.593067
4,0.552830
5,0.546909
6,0.539692
7,0.532444
8,0.525626
9,0.518601
10,0.511979
11,0.508031
12,0.504699
13,0.501608
14,0.499225
15,0.497009
16,0.494785
17,0.493087
18,0.491097
19,0.490166
20,0.488394
21,0.487396
22,0.486317
23,0.485506
24,0.484307
25,0.483852
26,0.483084
27,0.482784
28,0.482447
29,0.482169
30,0.481978
31,0.481763
32,0.481596
33,0.481471
34,0.481357
35,0.481245
36,0.481130
37,0.481073
38,0.480959
39,0.480907
40,0.480857
41,0.480790
42,0.480730
43,0.480652
44,0.480594
45,0.480541
46,0.480493
47,0.480437
48,0.480365
49,0.480281
50,0.480217
51,0.480153
52,0.480089
53,0.480026
54,0.479969
55,0.479905
56,0.479859
57,0.479811
58,0.479772
59,0.479719
60,0.479693
61,0.479671
62,0.479647
63,0.479619
64,0.479576
65,0.479564
66,0.479545
67,0.479532
68,0.479512
69,0.479497
70,0.479487
71,0.479468
72,0.479448
73,0.479440
74,0.479427
75,0.479422
76,0.479408
77,0.479401
78,0.479393
79,0.479380
80,0.479372
81,0.479361
82,0.479356
83,0.479350
84,0.479344
85,0.479335
86,0.479329
87,0.479323
88,0.479319
89,0.479313
90,0.479309
91,0.479306
92,0.479300
93,0.479296
94,0.479293
95,0.479291
96,0.479289
97,0.479287
98,0.479285
99,0.479284
100,0.479282
101,0.479282
102,0.479280
103,0.479280
104,0.479279
105,0.479279
106,0.479278
107,0.479277
108,0.479277
109,0.479277
110,0.479277
111,0.479277
112,0.479276
113,0.479276
114,0.479276
115,0.479276
116,0.479276
