method,seed,outer_fold,params,inner_mrr
A3_signature,0,0,{'C': 0.01},0.5055
A3_signature,0,0,{'C': 0.1},0.4643
A3_signature,0,0,{'C': 1},0.4371
A3_signature,0,0,{'C': 10},0.4269
A3_signature,0,1,{'C': 0.01},0.4968
A3_signature,0,1,{'C': 0.1},0.4515
A3_signature,0,1,{'C': 1},0.4314
A3_signature,0,1,{'C': 10},0.4328
A3_signature,0,2,{'C': 0.01},0.5186
A3_signature,0,2,{'C': 0.1},0.4334
A3_signature,0,2,{'C': 1},0.3927
A3_signature,0,2,{'C': 10},0.3825
A3_signature,0,3,{'C': 0.01},0.5212
A3_signature,0,3,{'C': 0.1},0.4429
A3_signature,0,3,{'C': 1},0.4137
A3_signature,0,3,{'C': 10},0.4043
A3_signature,0,4,{'C': 0.01},0.5298
A3_signature,0,4,{'C': 0.1},0.5173
A3_signature,0,4,{'C': 1},0.5052
A3_signature,0,4,{'C': 10},0.5009
A3_signature,1,0,{'C': 0.01},0.5297
A3_signature,1,0,{'C': 0.1},0.4927
A3_signature,1,0,{'C': 1},0.4517
A3_signature,1,0,{'C': 10},0.4517
A3_signature,1,1,{'C': 0.01},0.5130
A3_signature,1,1,{'C': 0.1},0.4609
A3_signature,1,1,{'C': 1},0.4086
A3_signature,1,1,{'C': 10},0.4045
A3_signature,1,2,{'C': 0.01},0.4879
A3_signature,1,2,{'C': 0.1},0.4665
A3_signature,1,2,{'C': 1},0.4398
A3_signature,1,2,{'C': 10},0.4399
A3_signature,1,3,{'C': 0.01},0.5445
A3_signature,1,3,{'C': 0.1},0.4712
A3_signature,1,3,{'C': 1},0.4408
A3_signature,1,3,{'C': 10},0.4267
A3_signature,1,4,{'C': 0.01},0.4844
A3_signature,1,4,{'C': 0.1},0.4364
A3_signature,1,4,{'C': 1},0.4123
A3_signature,1,4,{'C': 10},0.4093
A3_signature,2,0,{'C': 0.01},0.4836
A3_signature,2,0,{'C': 0.1},0.4344
A3_signature,2,0,{'C': 1},0.4096
A3_signature,2,0,{'C': 10},0.4095
A3_signature,2,1,{'C': 0.01},0.5066
A3_signature,2,1,{'C': 0.1},0.4713
A3_signature,2,1,{'C': 1},0.4281
A3_signature,2,1,{'C': 10},0.4279
A3_signature,2,2,{'C': 0.01},0.5259
A3_signature,2,2,{'C': 0.1},0.4866
A3_signature,2,2,{'C': 1},0.4614
A3_signature,2,2,{'C': 10},0.4613
A3_signature,2,3,{'C': 0.01},0.5450
A3_signature,2,3,{'C': 0.1},0.5117
A3_signature,2,3,{'C': 1},0.4798
A3_signature,2,3,{'C': 10},0.4728
A3_signature,2,4,{'C': 0.01},0.5053
A3_signature,2,4,{'C': 0.1},0.4717
A3_signature,2,4,{'C': 1},0.4422
A3_signature,2,4,{'C': 10},0.4285
A4_bigram_salience,0,0,{'C': 0.001},0.2102
A4_bigram_salience,0,0,{'C': 0.01},0.2179
A4_bigram_salience,0,0,{'C': 0.1},0.1572
A4_bigram_salience,0,0,{'C': 1},0.0754
A4_bigram_salience,0,0,{'C': 10},0.0508
A4_bigram_salience,0,1,{'C': 0.001},0.2768
A4_bigram_salience,0,1,{'C': 0.01},0.2910
A4_bigram_salience,0,1,{'C': 0.1},0.2249
A4_bigram_salience,0,1,{'C': 1},0.1130
A4_bigram_salience,0,1,{'C': 10},0.0631
A4_bigram_salience,0,2,{'C': 0.001},0.2778
A4_bigram_salience,0,2,{'C': 0.01},0.3028
A4_bigram_salience,0,2,{'C': 0.1},0.2244
A4_bigram_salience,0,2,{'C': 1},0.0833
A4_bigram_salience,0,2,{'C': 10},0.0426
A4_bigram_salience,0,3,{'C': 0.001},0.2498
A4_bigram_salience,0,3,{'C': 0.01},0.2854
A4_bigram_salience,0,3,{'C': 0.1},0.2357
A4_bigram_salience,0,3,{'C': 1},0.1333
A4_bigram_salience,0,3,{'C': 10},0.0771
A4_bigram_salience,0,4,{'C': 0.001},0.2822
A4_bigram_salience,0,4,{'C': 0.01},0.2858
A4_bigram_salience,0,4,{'C': 0.1},0.2454
A4_bigram_salience,0,4,{'C': 1},0.1232
A4_bigram_salience,0,4,{'C': 10},0.0691
A4_bigram_salience,1,0,{'C': 0.001},0.2757
A4_bigram_salience,1,0,{'C': 0.01},0.2950
A4_bigram_salience,1,0,{'C': 0.1},0.2437
A4_bigram_salience,1,0,{'C': 1},0.1285
A4_bigram_salience,1,0,{'C': 10},0.0590
A4_bigram_salience,1,1,{'C': 0.001},0.2605
A4_bigram_salience,1,1,{'C': 0.01},0.2556
A4_bigram_salience,1,1,{'C': 0.1},0.1922
A4_bigram_salience,1,1,{'C': 1},0.0958
A4_bigram_salience,1,1,{'C': 10},0.0535
A4_bigram_salience,1,2,{'C': 0.001},0.2459
A4_bigram_salience,1,2,{'C': 0.01},0.2261
A4_bigram_salience,1,2,{'C': 0.1},0.1598
A4_bigram_salience,1,2,{'C': 1},0.0903
A4_bigram_salience,1,2,{'C': 10},0.0653
A4_bigram_salience,1,3,{'C': 0.001},0.2747
A4_bigram_salience,1,3,{'C': 0.01},0.2728
A4_bigram_salience,1,3,{'C': 0.1},0.2042
A4_bigram_salience,1,3,{'C': 1},0.1156
A4_bigram_salience,1,3,{'C': 10},0.0654
A4_bigram_salience,1,4,{'C': 0.001},0.2731
A4_bigram_salience,1,4,{'C': 0.01},0.2642
A4_bigram_salience,1,4,{'C': 0.1},0.1975
A4_bigram_salience,1,4,{'C': 1},0.0922
A4_bigram_salience,1,4,{'C': 10},0.0467
A4_bigram_salience,2,0,{'C': 0.001},0.2630
A4_bigram_salience,2,0,{'C': 0.01},0.2811
A4_bigram_salience,2,0,{'C': 0.1},0.1955
A4_bigram_salience,2,0,{'C': 1},0.1155
A4_bigram_salience,2,0,{'C': 10},0.0694
A4_bigram_salience,2,1,{'C': 0.001},0.2629
A4_bigram_salience,2,1,{'C': 0.01},0.2691
A4_bigram_salience,2,1,{'C': 0.1},0.2170
A4_bigram_salience,2,1,{'C': 1},0.1451
A4_bigram_salience,2,1,{'C': 10},0.0795
A4_bigram_salience,2,2,{'C': 0.001},0.2599
A4_bigram_salience,2,2,{'C': 0.01},0.2741
A4_bigram_salience,2,2,{'C': 0.1},0.2193
A4_bigram_salience,2,2,{'C': 1},0.1071
A4_bigram_salience,2,2,{'C': 10},0.0676
A4_bigram_salience,2,3,{'C': 0.001},0.2762
A4_bigram_salience,2,3,{'C': 0.01},0.2883
A4_bigram_salience,2,3,{'C': 0.1},0.2260
A4_bigram_salience,2,3,{'C': 1},0.1435
A4_bigram_salience,2,3,{'C': 10},0.0887
A4_bigram_salience,2,4,{'C': 0.001},0.2216
A4_bigram_salience,2,4,{'C': 0.01},0.2170
A4_bigram_salience,2,4,{'C': 0.1},0.1649
A4_bigram_salience,2,4,{'C': 1},0.0571
A4_bigram_salience,2,4,{'C': 10},0.0313
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4515
A6_gbm_fusion,0,0,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4557
