proposed,baseline,delta_mrr,ci_low,ci_high,wilcoxon_p
P1_order2,B1_jaccard,0.0687,0.0397,0.0995,6.608e-03
P1_order2,B2_tfidf_cos,0.0424,0.0194,0.0665,8.677e-08
P1_order2,B3_bm25,0.1084,0.0762,0.1429,8.288e-12
P1_order2,B4_sbert,0.2246,0.1662,0.2828,1.634e-11
P1_order2,B5_word2vec,0.2936,0.2328,0.3542,2.018e-16
P1_order2,B6_node2vec,0.1813,0.1314,0.2325,2.653e-11
P1_order2,A1_wheel_treeW,0.2127,0.1581,0.2677,3.880e-13
P1_order2,A2_ppmi_svd,0.0539,0.0110,0.0991,3.932e-03
P1_order2,A3_signature,0.0658,0.0394,0.0925,5.704e-08
P1_order2,A4_bigram_salience,0.3672,0.3090,0.4264,2.677e-21
P1_order2,A5_bilinear,0.3321,0.2751,0.3905,2.467e-21
P1_order2,A6_gbm_fusion,0.0515,0.0172,0.0872,2.289e-02
P1_order2,P2_fusion,-0.0050,-0.0201,0.0110,1.800e-01
P1_order2,P3_hubidf,0.0487,0.0254,0.0729,6.172e-10
P2_fusion,B1_jaccard,0.0737,0.0454,0.1029,2.670e-03
P2_fusion,B2_tfidf_cos,0.0474,0.0185,0.0759,1.277e-05
P2_fusion,B3_bm25,0.1134,0.0764,0.1515,4.880e-10
P2_fusion,B4_sbert,0.2296,0.1706,0.2871,7.705e-12
P2_fusion,B5_word2vec,0.2986,0.2384,0.3579,1.114e-16
P2_fusion,B6_node2vec,0.1863,0.1375,0.2367,1.091e-11
P2_fusion,A1_wheel_treeW,0.2178,0.1646,0.2720,1.787e-13
P2_fusion,A2_ppmi_svd,0.0589,0.0170,0.1027,5.166e-03
P2_fusion,A3_signature,0.0708,0.0413,0.1010,2.442e-07
P2_fusion,A4_bigram_salience,0.3722,0.3134,0.4317,7.079e-22
P2_fusion,A5_bilinear,0.3371,0.2767,0.3972,1.940e-20
P2_fusion,A6_gbm_fusion,0.0566,0.0215,0.0931,7.127e-03
P2_fusion,P1_order2,0.0050,-0.0110,0.0201,1.800e-01
P2_fusion,P3_hubidf,0.0538,0.0248,0.0824,3.054e-07
