p_idx,product,q_idx,query,len_Ap,len_Aq,contained,subseq,prefix
327,Lugsary,0,1 Million Lucky — Rabanne,9,9,0,0,0
288,Superclass Man,1,1 Million — Rabanne,5,10,1,1,1
85,Zero Two,2,212 VIP Men Carolina Herrera,2,10,0,0,0
60,Five Years,3,5th Avenue by Elizabeth Arden,5,8,1,0,0
247,Spookie,4,5th Avenue — Elizabeth Arden,5,8,0,0,0
243,Jongleuse,5,724 — Maison Francis Kurkdjian,5,10,1,0,0
308,Solitary Man,6,Aigner Black for Men — Etienne Aigner,5,10,1,0,0
7,Black Lax,7,Alexandria II by xerjoff,5,10,1,1,0
238,Milazombie,8,Amber Fever — Mancera,5,10,1,1,1
184,Forest Night,9,Ameer Al Oudh Intense Oud Lattafa Perfumes,5,5,0,0,0
215,Glitter Glam,10,Amor Amor — Cacharel,5,10,1,0,0
289,-,11,Angels’ Share — By Kilian,5,7,1,1,0
325,Conoir,12,Antonio — Antonio Banderas,5,10,1,1,1
83,cinnabar,13,Aoud Lemon Mint Mancera,5,10,1,0,0
191,Bidden Rose,14,Aoud Vanille Mancera,5,9,1,0,0
252,High Lily,15,Aqua Lily 2008 — The Body Shop,5,10,1,1,1
28,Authentic Discovery,16,Aqua Universalis by Maison Francis Kurkdjian,5,5,1,1,1
211,Gempita,17,Aqua Universalis — Maison Francis Kurkdjian,4,5,0,0,0
217,Callisto,18,Aura Loewe Floral — Loewe,5,10,1,1,1
266,Scarlett Heels,19,Aura — Swarovski,5,10,1,0,0
133,Fit Woman,20,B. United Woman Benetton,5,10,1,1,1
8,Red Glass,21,Baccarat Rouge 540 Extrait de Parfum by Maison Francis Kurkdjian,5,10,0,0,0
213,Mirage Moon,22,Baccarat Rouge 540 Extrait de Parfum — Maison Francis Kurkdjian,5,10,1,0,0
233,Black Mirage,23,Baccarat Rouge 540 — Maison Francis Kurkdjian,4,9,1,0,0
237,Cassanova,24,Back to Pink — Victoria’s Secret,5,9,1,1,1
0,Berrylicious,25,Bad Boy Extreme By Carolina Herrera,5,10,1,0,0
144,Boomtown,26,Bad Boy Le Parfum Carolina Herrera,5,10,1,1,1
273,Sweet Vanilla,27,Bare Vanilla — Victoria’s Secret,5,6,0,0,0
160,Sweaty Man,28,Black Bvlgari,5,9,1,0,0
222,Ice Americano,29,Black Coffee — Odetu,5,10,1,0,0
224,Black Cocain,30,Black Opium Illicit Green — Yves Saint Laurent,5,10,1,1,1
283,Red Sunset,31,Black Opium — Yves Saint Laurent,5,10,1,1,1
161,Secret Code,32,Black Saffron Byredo,6,10,1,1,1
165,silk safron,32,Black Saffron Byredo,5,10,1,1,1
290,Sexy Killer,33,Black XS for Her — Rabanne,5,10,1,0,0
302,Exits,34,Black XS L’Exces for Him — Rabanne,5,10,1,0,0
324,Groove Large,35,Bleu de Chanel — Chanel,5,10,1,0,0
16,Bosi Bottle,36,Boss Bottled Night by Hugo Boss,5,10,1,1,1
11,Solstice,37,Boss Bottled United by Hugo Boss,5,10,1,1,1
307,Floresta,38,Boss In Motion — Hugo Boss,5,10,1,0,0
317,Iron Man,39,Burberry Sport for Men — Burberry,5,7,0,0,0
232,Samericek,40,Burberry Summer — Burberry,5,9,0,0,0
112,Zimba,41,Burberry Women Burberry,5,6,1,1,1
338,M Too Man,42,Bvlgari Man — Bvlgari,5,10,1,0,0
315,Black Square,43,Bvlgari Pour Homme Soir — Bvlgari,5,8,1,1,1
314,Sweet Home,44,Bvlgari Pour Homme — Bvlgari,5,10,1,0,0
196,Rosella,45,Bvlgari Rose Essentielle Eau De Toilette Rosee,5,8,0,0,0
287,Expose,46,Cerruti 1881 Black — Cerruti,5,8,0,0,0
174,Badge,47,CH Insignia Carolina Herrera for women,5,10,1,0,0
318,Excelsior,48,CH Men Hot! Hot! Hot! — Carolina Herrera,5,10,1,0,0
332,Esava-X,49,CH Men Prive — Carolina Herrera,5,10,0,0,0
265,Durant,50,Chic — Carolina Herrera,5,8,1,0,0
203,Full Of Passion,51,Chloé Roses de Chloé,5,7,1,1,1
281,Nowadays Man,52,Chocolate Greedy — Montale,5,8,1,1,1
