q_idx,query,n_dupes,stratum,is_NON_OP
0,1 Million Lucky — Rabanne,1,partial,1
1,1 Million — Rabanne,1,prefix,0
2,212 VIP Men Carolina Herrera,1,partial,1
3,5th Avenue by Elizabeth Arden,1,contained,1
4,5th Avenue — Elizabeth Arden,1,partial,1
5,724 — Maison Francis Kurkdjian,1,contained,1
6,Aigner Black for Men — Etienne Aigner,1,contained,1
7,Alexandria II by xerjoff,1,subseq,0
8,Amber Fever — Mancera,1,prefix,0
9,Ameer Al Oudh Intense Oud Lattafa Perfumes,1,partial,1
10,Amor Amor — Cacharel,1,contained,1
11,Angels’ Share — By Kilian,1,subseq,0
12,Antonio — Antonio Banderas,1,prefix,0
13,Aoud Lemon Mint Mancera,1,contained,1
14,Aoud Vanille Mancera,1,contained,1
15,Aqua Lily 2008 — The Body Shop,1,prefix,0
16,Aqua Universalis by Maison Francis Kurkdjian,1,prefix,0
17,Aqua Universalis — Maison Francis Kurkdjian,1,partial,1
18,Aura Loewe Floral — Loewe,1,prefix,0
19,Aura — Swarovski,1,contained,1
20,B. United Woman Benetton,1,prefix,0
21,Baccarat Rouge 540 Extrait de Parfum by Maison Francis Kurkdjian,1,partial,1
22,Baccarat Rouge 540 Extrait de Parfum — Maison Francis Kurkdjian,1,contained,1
23,Baccarat Rouge 540 — Maison Francis Kurkdjian,1,contained,1
24,Back to Pink — Victoria’s Secret,1,prefix,0
25,Bad Boy Extreme By Carolina Herrera,1,contained,1
26,Bad Boy Le Parfum Carolina Herrera,1,prefix,0
27,Bare Vanilla — Victoria’s Secret,1,partial,1
28,Black Bvlgari,1,contained,1
29,Black Coffee — Odetu,1,contained,1
30,Black Opium Illicit Green — Yves Saint Laurent,1,prefix,0
31,Black Opium — Yves Saint Laurent,1,prefix,0
32,Black Saffron Byredo,2,prefix,0
33,Black XS for Her — Rabanne,1,contained,1
34,Black XS L’Exces for Him — Rabanne,1,contained,1
35,Bleu de Chanel — Chanel,1,contained,1
36,Boss Bottled Night by Hugo Boss,1,prefix,0
37,Boss Bottled United by Hugo Boss,1,prefix,0
38,Boss In Motion — Hugo Boss,1,contained,1
39,Burberry Sport for Men — Burberry,1,partial,1
40,Burberry Summer — Burberry,1,partial,1
41,Burberry Women Burberry,1,prefix,0
42,Bvlgari Man — Bvlgari,1,contained,1
43,Bvlgari Pour Homme Soir — Bvlgari,1,prefix,0
44,Bvlgari Pour Homme — Bvlgari,1,contained,1
45,Bvlgari Rose Essentielle Eau De Toilette Rosee,1,partial,1
46,Cerruti 1881 Black — Cerruti,1,partial,1
